dup_carrying_indid,anc_gc,derived_pop,repl_id,init_dupl_genotype_fitness,rel_sel_adv_dupG_init_pop_mean,rel_sel_adv_dupG_init_pop_min,rel_sel_adv_dupG_init_pop_max,rel_sel_adv_dupG_init_pop_std,rel_sel_adv_dupG_init_pop_median,rel_sel_adv_dupG_init_pop_MAD,rel_sel_adv_dupG_init_pop_Q75,rel_sel_adv_dupG_init_pop_IQR,pop_freq_dupl_carrying_genotype,rank_in_pop_dupl_genotype_fitness,max_dup_freq_attained,longest_time_window_dupl_nearly_fixed,t2fixation,simulated_geners
263,1,2,25,0.514864893546,7.2402364064,1.85278002974,270.6571813,8.53976458464,6.81752950334,0.515890148689,7.16549212085,0.677122256129,0.001,1,1.0,1802,16,1818
67,1,2,26,0.615721668985,8.8575449343,2.41161050827,323.872049267,10.212820457,8.3497761166,0.615654328356,8.76502865074,0.809763592114,0.001,1,1.0,1799,19,1830
446,1,3,0,0.579510076435,8.3128988605,0.58095186211,306.238737132,10.733208391,7.60346156969,0.552368020495,7.96944662064,0.751914488912,0.001,1,1.0,1762,339,2101
834,1,3,1,0.607220125814,8.75877663058,0.656547189863,320.929768269,11.2464159648,8.01484759146,0.580217205925,8.39963813309,0.789173711828,0.001,1,1.0,1671,99,1885
669,1,3,2,0.594666541781,8.55685272616,0.622299964732,314.274237223,11.0139167291,7.82847589202,0.568221876484,8.20531132775,0.772858444782,0.001,1,1.0,1877,18,1895
61,1,3,3,0.589355041621,8.47139798672,0.607809748928,311.458240284,10.9155445633,7.74962085677,0.561751884819,8.1218234184,0.764688334039,0.001,1,1.0,1871,19,1890
262,1,3,4,0.59540852626,8.5688184282,0.624324160329,314.667614981,11.0276575702,7.83949146399,0.568930865109,8.21679708936,0.773822765004,0.001,1,1.0,1886,16,1902
35,1,3,5,0.606840239913,8.75281160771,0.655510829416,320.728364239,11.239371888,8.00920776935,0.579854213451,8.39375758031,0.78867999307,0.001,1,1.0,1785,84,1890
459,1,3,6,0.559539009554,7.99133253452,0.526469124608,295.650680742,10.3633026866,7.30696921623,0.533332322707,7.66034169627,0.726002023957,0.001,1,1.0,1968,18,1986
33,1,3,7,0.580131871088,8.32291216443,0.582648169825,306.568393874,10.7447247119,7.61269279209,0.552960692642,7.97907053258,0.752721267651,0.001,1,1.0,1835,13,1848
390,1,3,8,0.606437389042,8.74632718696,0.654411818612,320.514784877,11.2319112718,8.0032270071,0.579469277252,8.38752153469,0.788156427886,0.001,1,1.0,1816,12,1828
147,1,3,9,0.607252621732,8.75946489329,0.656635841441,320.946996623,11.2470079843,8.01541897659,0.580380130728,8.40014116298,0.789215945153,0.001,1,1.0,1978,22,2000
744,1,3,10,0.662441564163,9.64775058145,0.807195883194,350.206506795,12.2690115083,8.83476733523,0.631271452532,9.25445422961,0.860942261027,0.001,1,1.0,1457,188,1839
993,1,3,11,0.584804424381,8.39806038421,0.595395285242,309.045640485,10.8312655455,7.68206196153,0.557414401246,8.05139061648,0.758783906877,0.001,1,1.0,1831,18,1849
363,1,3,12,0.607186339878,8.75845004052,0.656455019009,320.911855986,11.2457768964,8.01443494018,0.580316782016,8.399115134,0.789129801932,0.001,1,1.0,1708,77,1824
31,1,3,13,0.592525235052,8.52238859948,0.616458301233,313.138981078,10.9742589757,7.79668584918,0.566175793104,8.17089052165,0.768801660917,0.001,1,1.0,1395,17,1825
381,1,3,14,0.592984176579,8.52976961937,0.617710332031,313.382298013,10.9827589355,7.80349933864,0.566614325623,8.179268673,0.77067195864,0.001,1,1.0,1804,17,1821
153,1,3,15,0.617546276263,8.92529436831,0.684717790245,326.404381312,11.4376250056,8.16824105602,0.588488639469,8.55948474127,0.80259409454,0.001,1,1.0,1783,91,1874
629,1,3,16,0.572765933477,8.20431207674,0.562553277165,302.663196257,10.608297191,7.50333738355,0.545939747636,7.86506322383,0.743163961507,0.001,1,1.0,1850,14,1864
486,1,3,17,0.628673801098,9.10416086309,0.715074606845,332.303858848,11.6437164222,8.33344297524,0.5990925767,8.73173645414,0.81705598357,0.001,1,1.0,1731,13,1818
791,1,3,18,0.605378393905,8.72921289419,0.651522791482,319.953337644,11.2123030885,7.98750506484,0.578457375352,8.37112851567,0.786780104725,0.001,1,1.0,1661,166,1872
695,1,3,19,0.652719867958,9.49175854082,0.780674284444,345.052357132,12.0889070816,8.69043668713,0.622007194949,9.1039644443,0.848307457348,0.001,1,1.0,1792,48,1847
247,1,3,20,0.608624643077,8.78157046854,0.660378830196,321.674400895,11.2724155675,8.0357883366,0.581691436598,8.42137976098,0.790999092863,0.001,1,1.0,1831,15,1846
383,1,3,21,0.592525235052,8.52238859948,0.616458301233,313.138981078,10.9742589757,7.79668584918,0.566175793104,8.17089052165,0.768801660917,0.001,1,1.0,1833,17,1850
612,1,3,22,0.596000791418,8.57829610728,0.625939909118,314.981616077,11.0386285593,7.84828428871,0.56949679239,8.22596522779,0.77459250249,0.001,1,1.0,1904,23,1956
468,1,3,23,0.623494533609,9.02074681183,0.700945132807,329.557967677,11.5478072668,8.25655032014,0.595903296214,8.65156249726,0.810324747938,0.001,1,1.0,1786,28,1851
326,1,3,24,0.608188902912,8.77459284794,0.659190094654,321.443384622,11.26434332,8.02931923295,0.581274979057,8.4146345961,0.790432783104,0.001,1,1.0,1838,14,1852
91,1,3,25,0.608341563195,8.77716618633,0.659606564649,321.524320493,11.2671612774,8.03158566435,0.581420883729,8.41699774474,0.79063118806,0.001,1,1.0,1821,15,1836
132,1,3,26,0.595507313927,8.57070021733,0.62459366133,314.719989218,11.0294715408,7.84104530231,0.569154583015,8.21832630139,0.773951154407,0.001,1,1.0,1038,280,1900
693,1,4,0,0.620141236371,8.75540647349,-0.296539308523,351.924158314,11.0383224217,8.5078242123,0.672006106124,8.90051007362,0.946579561983,0.001,4,1.0,1754,142,1900
386,1,4,1,0.540948525297,7.5076597011,-0.386372004729,306.855359045,9.62867221593,7.29366470859,0.586190194714,7.63511683882,0.832454544555,0.001,4,1.0,1772,93,1865
157,1,4,2,0.577841865806,8.08885803984,-0.344521836891,327.851465065,10.2854345059,7.85930262393,0.62616907153,8.22404220041,0.889228946432,0.001,4,1.0,1122,448,1936
694,1,4,3,0.588808092219,8.26166957275,-0.332082236421,334.092376006,10.4806355062,8.02743360264,0.644362784674,8.40027868902,0.907288164299,0.001,4,1.0,1807,74,1881
253,1,4,4,0.592850426243,8.32518505783,-0.327496792137,336.392879906,10.5525878056,8.08940948661,0.648786517369,8.46481425992,0.91351695406,0.001,4,1.0,1826,248,2074
506,1,4,5,0.608163986578,8.56667260018,-0.310125769037,345.107871065,10.8251519039,8.32419251859,0.665544928999,8.70929414526,0.937113457283,0.001,4,1.0,1712,158,1890
253,1,4,6,0.583309055116,8.17510495748,-0.338320100017,330.9628582,10.3827538102,7.94312397277,0.63834490736,8.31248695863,0.898814756165,0.001,4,1.0,1732,145,1931
176,1,4,7,0.604163090486,8.50360468028,-0.314664207971,342.83094961,10.7539428746,8.26285194888,0.661166543951,8.64542012795,0.930948518793,0.001,4,1.0,1717,112,1875
520,1,4,8,0.636932169363,9.02004728177,-0.277492419459,361.479926494,11.3371444695,8.76525789013,0.6902013314,9.16857610678,0.972209133224,0.001,4,1.0,1623,206,1870
412,1,4,9,0.572622113472,8.00674353424,-0.350442892243,324.880889024,10.1925238591,7.77927490652,0.620512770618,8.14071972301,0.881196377068,0.001,4,1.0,1685,216,1901
132,1,4,10,0.612286874963,8.63168716565,-0.305448947461,347.454218683,10.8985289904,8.38740343848,0.663494853338,8.77511576072,0.943466372407,0.001,4,0.9775,42,771,2279
544,1,4,11,0.57848183776,8.09891891096,-0.343795881114,328.215674942,10.2968256764,7.86911448692,0.626862566875,8.23425802011,0.890213786092,0.001,4,1.0,1716,144,1860
989,1,4,12,0.608864757316,8.57744323809,-0.309330845818,345.506681704,10.8376351717,8.33493653075,0.666311818229,8.7204818995,0.938193267504,0.001,4,1.0,173,413,1966
556,1,4,13,0.576824169234,8.07287801792,-0.345676266708,327.272291024,10.2673205818,7.8436995975,0.62506626096,8.2077967937,0.887662834138,0.001,4,1.0,1533,189,1844
598,1,4,14,0.56119067513,7.8266628706,-0.363410208474,318.375224639,9.98903451577,7.60401143447,0.608125275775,7.95824061253,0.863604772039,0.001,4,1.0,1722,140,2002
832,1,4,15,0.559604228799,7.80156658236,-0.365209802773,317.472373476,9.96078655709,7.57968850293,0.606406148649,7.93291630016,0.861163422453,0.001,4,1.0,1659,163,2025
662,1,4,16,0.592838004803,8.32521042711,-0.327510882467,336.385810829,10.5523658445,8.08921904473,0.648772923953,8.46461595254,0.913497813996,0.001,4,1.0,1716,151,1894
575,1,4,17,0.581423897458,8.14538285486,-0.340458539186,329.890009564,10.3491977888,7.91422128645,0.636281882999,8.2812218772,0.894741261168,0.001,4,1.0,1751,133,1884
264,1,4,18,0.620168500174,8.75608225649,-0.296508381675,351.939674222,11.0387852454,8.50824221296,0.672035650107,8.90094533826,0.946621177275,0.001,4,1.0,1788,189,1998
91,1,4,19,0.668883431635,9.52338339503,-0.241248325802,379.663481599,11.905759263,9.25512530618,0.724824804386,9.67867570255,1.02097933277,0.001,3,1.0,1701,139,1840
246,1,4,20,0.589464109695,8.27200906427,-0.331338079316,334.465717435,10.4923124327,8.03749147088,0.645080698122,8.41075196068,0.908299014693,0.001,4,1.0,1395,578,1973
425,1,4,21,0.608555747477,8.57303999546,-0.309681372863,345.330823317,10.8321129213,8.33019888221,0.659451676871,8.71554857973,0.93771711751,0.001,4,1.0,1750,146,1899
956,1,4,22,0.568804381948,7.94666245659,-0.354773557421,322.708207051,10.1245681468,7.72074256244,0.616375747073,8.07977758854,0.875321348653,0.001,4,1.0,1721,144,1877
202,1,4,23,0.576994360501,8.07551807268,-0.345483209289,327.369147363,10.2703488312,7.84630892028,0.625250685998,8.21051354291,0.887924737974,0.001,4,1.0,1567,254,1871
644,1,4,24,0.564844483836,7.88422288657,-0.359265490065,320.454617665,10.0540763258,7.6600305618,0.612084666986,8.01656606053,0.869227543005,0.001,4,1.0,1666,139,1849
704,1,4,25,0.554028399519,7.71372924517,-0.371534776006,314.299153022,9.86152710784,7.49420151783,0.600363990664,7.84390979574,0.85258289361,0.001,4,1.0,1698,164,1862
522,1,4,26,0.591089901618,8.29763177702,-0.329493853125,335.390960287,10.5212509065,8.06241763754,0.646859885305,8.43670761137,0.910804180279,0.001,4,1.0,1542,175,1766
982,1,5,0,0.558781472002,8.64680061888,0.910213406527,397.807331509,18.1499417503,7.47660955965,0.788247193992,7.99003529404,1.07301896133,0.001,1,1.0,1690,184,1876
446,1,5,1,0.616233711546,9.64015897044,1.10661583522,438.811508436,20.0159927604,8.35469172524,0.873371435485,8.91815720993,1.187136939,0.001,1,1.0,1865,28,1893
26,1,5,2,0.580238608511,9.0178375996,0.983565355148,413.121481641,18.8468814837,7.80211027427,0.818515784652,8.33882329165,1.11779455212,0.001,1,1.0,1922,132,2054
324,1,5,3,0.628548991638,9.85328920338,1.14871603775,447.601033925,20.4159599085,8.54164295271,0.887308241744,9.11636915737,1.2079429428,0.001,1,1.0,1760,71,1834
